 0  0 0 0 e   0     0.000000000 0.000e+00 1233    1     0.000000 0.000000
 0  0 0 0 e   2     0.654706804 1.862e-05   25    1     0.654756 0.000049
 0  0 0 0 e   4     2.182361347 3.436e-05   29    1     2.182516 0.000155
 0  0 0 0 e   6     4.583103085 5.137e-05   37    1     4.583274 0.000171
 0  0 0 0 e   8     7.856854164 6.889e-05   42    1     7.857015 0.000161
 0  0 0 0 e  10    12.003562632 9.015e-05   43    1    12.003724 0.000161
 0  0 0 0 e  12    17.023231708 1.146e-04   44    1    17.023378 0.000146
 0  0 0 0 e  14    22.915814696 1.388e-04   46    1    22.915952 0.000137
 0  0 0 0 e  16    29.681277718 1.604e-04   44    1    29.681416 0.000138
 0  0 0 0 e  18    37.319587303 1.792e-04   44    1    37.319733 0.000146
 0  0 0 0 e  20    45.830710347 1.992e-04   46    1    45.830865 0.000155
 0  0 0 0 e  22    55.214615363 2.186e-04   46    1    55.214768 0.000153
 0  0 0 0 e  24    65.471240807 2.388e-04   47    1    65.471393 0.000152
 0  0 0 0 e  26    76.600562914 2.567e-04   45    1    76.600686 0.000123
 0  0 0 0 e  28    88.602437369 2.748e-04   47    1    88.602590 0.000153
 0  0 0 0 e  30   101.476903196 2.926e-04   47    1   101.477044 0.000141
 0  0 0 0 e  32   115.223829203 3.123e-04   46    1   115.223979 0.000150
 0  0 0 0 e  34   129.843202483 3.334e-04   42    1   129.843325 0.000123
 0  0 0 0 e  36   145.334895275 3.552e-04   44    1   145.335007 0.000112
 0  0 0 0 e  38   161.698807616 3.770e-04   41    1   161.698943 0.000135
 0  0 0 0 e  40   178.934902973 4.014e-04   41    1   178.935050 0.000147
 0  0 0 0 e  42   197.043075579 4.285e-04   42    1   197.043237 0.000161
 0  0 0 0 e  44   216.023205011 4.588e-04   41    1   216.023411 0.000206
 0  0 0 0 e  46   235.875229993 4.954e-04   45    1   235.875474 0.000244
 0  0 0 0 e  48   256.599050174 5.400e-04   42    1   256.599322 0.000272
 0  0 0 0 e  50   278.194575822 5.885e-04   43    1   278.194848 0.000272
 0  0 0 0 e  52   300.661675069 6.277e-04   40    1   300.661941 0.000266
 0  0 0 0 e  54   324.000238917 6.589e-04   35    1   324.000484 0.000245
 0  0 0 0 e  56   348.210152815 6.850e-04   39    1   348.210356 0.000203
 0  0 0 0 e  58   373.291237511 7.114e-04   41    1   373.291431 0.000193
 0  1 1 0 e   1   396.207954509 5.325e-05    9    1   396.210963 0.003008
 0  1 1 0 f   2   396.644832900 1.448e-04   12    1   396.648163 0.003330
 0  1 1 0 e   3   397.300766110 4.766e-05   17    1   397.303964 0.003198
 0  1 1 0 f   4   398.176520004 8.764e-05   18    1   398.178363 0.001843
 0  0 0 0 e  60   399.243409480 7.369e-04   39    1   399.243579 0.000170
 0  1 1 0 e   5   399.268048496 5.639e-05   23    1   399.271360 0.003312
 0  1 1 0 f   6   400.582766027 9.454e-05   18    1   400.582953 0.000187
 0  1 1 0 e   7   402.109873520 6.956e-05   26    1   402.113141 0.003267
 0  1 1 0 f   8   403.864157584 1.041e-04   19    1   403.861921 0.002237
 0  1 1 0 e   9   405.826059095 8.454e-05   30    1   405.829291 0.003232
 0  1 1 0 f  10   408.020441685 1.184e-04   16    1   408.023746 0.003304
 0  1 1 0 e  11   410.416427101 1.036e-04   28    1   410.419792 0.003365
 0  1 1 0 f  12   413.051851059 1.390e-04   23    1   413.054965 0.003114
 0  1 1 0 e  13   415.881518903 1.274e-04   31    1   415.884619 0.003100
 0  1 1 0 f  14   418.958053653 1.583e-04   24    1   418.961115 0.003061
 0  1 1 0 e  15   422.220524188 1.488e-04   31    1   422.223743 0.003219
 0  1 1 0 f  16   425.739090292 1.770e-04   23    1   425.742164 0.003074
 0  0 0 0 e  62   426.066525551 7.625e-04   41    1   426.066666 0.000140
 0  1 1 0 e  17   429.433935255 1.686e-04   32    1   429.437131 0.003196
 0  1 1 0 f  18   433.394783243 1.937e-04   26    1   433.398075 0.003292
 0  1 1 0 e  19   437.521577599 1.886e-04   35    1   437.524746 0.003168
 0  1 1 0 f  20   441.925534988 2.128e-04   24    1   441.928809 0.003274
 0  1 1 0 e  21   446.483348888 2.097e-04   33    1   446.486544 0.003195
 0  1 1 0 f  22   451.331124388 2.308e-04   25    1   451.334322 0.003198
 0  0 0 0 e  64   453.760448160 7.899e-04   38    1   453.760553 0.000105
 0  1 1 0 e  23   456.319305528 2.281e-04   33    1   456.322478 0.003172
 0  1 1 0 f  24   461.611393495 2.497e-04   25    1   461.614562 0.003169
 0  1 1 0 e  25   467.029346017 2.466e-04   32    1   467.032498 0.003152
 0  1 1 0 f  26   472.766334893 2.665e-04   26    1   472.769477 0.003142
 0  1 1 0 e  27   478.613403283 2.648e-04   31    1   478.616546 0.003143
 0  0 0 0 e  66   482.325031791 8.210e-04   38    1   482.325097 0.000065
 0  1 1 0 f  28   484.795867998 2.846e-04   25    1   484.799007 0.003139
 0  1 1 0 e  29   491.071443380 2.824e-04   34    1   491.074562 0.003119
 0  1 1 0 f  30   497.699938735 3.027e-04   27    1   497.703089 0.003150
 0  1 1 0 e  31   504.403365069 3.003e-04   31    1   504.406481 0.003116
 0  1 1 0 f  32   511.478555803 3.226e-04   25    1   511.481655 0.003099
 0  0 0 0 e  68   511.760158880 8.477e-04   38    1   511.760148 0.000011
 0  1 1 0 e  33   518.609144715 3.194e-04   32    1   518.612232 0.003087
 0  1 1 0 f  34   526.131611883 3.499e-04   26    1   526.134633 0.003021
