0 0 0 0 e 0 	0.000000000	0.000e+00	1233
0 0 0 0 e 2 	0.654706804	1.862e-05	25
0 0 0 0 e 4 	2.182361347	3.436e-05	29
0 0 0 0 e 6 	4.583103085	5.137e-05	37
0 0 0 0 e 8 	7.856854164	6.889e-05	42
0 0 0 0 e 10 	12.003562632	9.015e-05	43
0 0 0 0 e 12 	17.023231708	1.146e-04	44
0 0 0 0 e 14 	22.915814696	1.388e-04	46
0 0 0 0 e 16 	29.681277718	1.604e-04	44
0 0 0 0 e 18 	37.319587303	1.792e-04	44
0 0 0 0 e 20 	45.830710347	1.992e-04	46
0 0 0 0 e 22 	55.214615363	2.186e-04	46
0 0 0 0 e 24 	65.471240807	2.388e-04	47
0 0 0 0 e 26 	76.600562914	2.567e-04	45
0 0 0 0 e 28 	88.602437369	2.748e-04	47
0 0 0 0 e 30 	101.476903196	2.926e-04	47
0 0 0 0 e 32 	115.223829203	3.123e-04	46
0 0 0 0 e 34 	129.843202483	3.334e-04	42
0 0 0 0 e 36 	145.334895275	3.552e-04	44
0 0 0 0 e 38 	161.698807616	3.770e-04	41
0 0 0 0 e 40 	178.934902973	4.014e-04	41
0 0 0 0 e 42 	197.043075579	4.285e-04	42
0 0 0 0 e 44 	216.023205011	4.588e-04	41
0 0 0 0 e 46 	235.875229993	4.954e-04	45
0 0 0 0 e 48 	256.599050174	5.400e-04	42
0 0 0 0 e 50 	278.194575822	5.885e-04	43
0 0 0 0 e 52 	300.661675069	6.277e-04	40
0 0 0 0 e 54 	324.000238917	6.589e-04	35
0 0 0 0 e 56 	348.210152815	6.850e-04	39
0 0 0 0 e 58 	373.291237511	7.114e-04	41
0 1 1 0 e 1 	396.207954509	5.325e-05	9
0 1 1 0 f 2 	396.644832900	1.448e-04	12
0 1 1 0 e 3 	397.300766110	4.766e-05	17
0 1 1 0 f 4 	398.176520004	8.764e-05	18
0 0 0 0 e 60 	399.243409480	7.369e-04	39
0 1 1 0 e 5 	399.268048496	5.639e-05	23
0 1 1 0 f 6 	400.582766027	9.454e-05	18
0 1 1 0 e 7 	402.109873520	6.956e-05	26
